element,block,node1,node2,node3,node4,node5,node6,node7,node8
1, 1 ,13 ,41 ,50 ,15 ,16 ,48 ,72 ,35
2, 1 ,15 ,50 ,51 ,14 ,35 ,72 ,71 ,36
3, 1 ,14 ,51 ,49 ,5 ,36 ,71 ,52 ,12
4, 1 ,16 ,48 ,72 ,35 ,17 ,47 ,70 ,33
5, 1 ,35 ,72 ,71 ,36 ,33 ,70 ,69 ,34
6, 1 ,36 ,71 ,52 ,12 ,34 ,69 ,53 ,11
7, 1 ,17 ,47 ,70 ,33 ,18 ,46 ,68 ,31
8, 1 ,33 ,70 ,69 ,34 ,31 ,68 ,67 ,32
9, 1 ,34 ,69 ,53 ,11 ,32 ,67 ,54 ,10
10, 1 ,18 ,46 ,68 ,31 ,19 ,45 ,66 ,29
11, 1 ,31 ,68 ,67 ,32 ,29 ,66 ,65 ,30
12, 1 ,32 ,67 ,54 ,10 ,30 ,65 ,55 ,9
13, 1 ,19 ,45 ,66 ,29 ,20 ,44 ,64 ,27
14, 1 ,29 ,66 ,65 ,30 ,27 ,64 ,63 ,28
15, 1 ,30 ,65 ,55 ,9 ,28 ,63 ,56 ,8
16, 1 ,20 ,44 ,64 ,27 ,21 ,43 ,62 ,25
17, 1 ,27 ,64 ,63 ,28 ,25 ,62 ,61 ,26
18, 1 ,28 ,63 ,56 ,8 ,26 ,61 ,57 ,7
19, 1 ,21 ,43 ,62 ,25 ,22 ,42 ,60 ,23
20, 1 ,25 ,62 ,61 ,26 ,23 ,60 ,59 ,24
21, 1 ,26 ,61 ,57 ,7 ,24 ,59 ,58 ,6
22, 1 ,22 ,42 ,60 ,23 ,1 ,38 ,40 ,3
23, 1 ,23 ,60 ,59 ,24 ,3 ,40 ,39 ,4
24, 1 ,24 ,59 ,58 ,6 ,4 ,39 ,37 ,2
