node,x,y,z
13, -5.0000000000000e+00, -2.0000000000000e+00, 2.5000000000000e-01
41, -5.0000000000000e+00, -2.0000000000000e+00, -2.5000000000000e-01
50, -5.0000000000000e+00, -6.6666666666667e-01, -2.5000000000000e-01
15, -5.0000000000000e+00, -6.6666666666667e-01, 2.5000000000000e-01
16, -3.7500000000000e+00, -2.0000000000000e+00, 2.5000000000000e-01
48, -3.7500000000000e+00, -2.0000000000000e+00, -2.5000000000000e-01
72, -3.7500000000000e+00, -6.6666666666667e-01, -2.5000000000000e-01
35, -3.7500000000000e+00, -6.6666666666667e-01, 2.5000000000000e-01
51, -5.0000000000000e+00, 6.6666666666667e-01, -2.5000000000000e-01
14, -5.0000000000000e+00, 6.6666666666667e-01, 2.5000000000000e-01
71, -3.7500000000000e+00, 6.6666666666667e-01, -2.5000000000000e-01
36, -3.7500000000000e+00, 6.6666666666667e-01, 2.5000000000000e-01
49, -5.0000000000000e+00, 2.0000000000000e+00, -2.5000000000000e-01
5, -5.0000000000000e+00, 2.0000000000000e+00, 2.5000000000000e-01
52, -3.7500000000000e+00, 2.0000000000000e+00, -2.5000000000000e-01
12, -3.7500000000000e+00, 2.0000000000000e+00, 2.5000000000000e-01
17, -2.5000000000000e+00, -2.0000000000000e+00, 2.5000000000000e-01
47, -2.5000000000000e+00, -2.0000000000000e+00, -2.5000000000000e-01
70, -2.5000000000000e+00, -6.6666666666667e-01, -2.5000000000000e-01
33, -2.5000000000000e+00, -6.6666666666667e-01, 2.5000000000000e-01
69, -2.5000000000000e+00, 6.6666666666667e-01, -2.5000000000000e-01
34, -2.5000000000000e+00, 6.6666666666667e-01, 2.5000000000000e-01
53, -2.5000000000000e+00, 2.0000000000000e+00, -2.5000000000000e-01
11, -2.5000000000000e+00, 2.0000000000000e+00, 2.5000000000000e-01
18, -1.2500000000000e+00, -2.0000000000000e+00, 2.5000000000000e-01
46, -1.2500000000000e+00, -2.0000000000000e+00, -2.5000000000000e-01
68, -1.2500000000000e+00, -6.6666666666667e-01, -2.5000000000000e-01
31, -1.2500000000000e+00, -6.6666666666667e-01, 2.5000000000000e-01
67, -1.2500000000000e+00, 6.6666666666667e-01, -2.5000000000000e-01
32, -1.2500000000000e+00, 6.6666666666667e-01, 2.5000000000000e-01
54, -1.2500000000000e+00, 2.0000000000000e+00, -2.5000000000000e-01
10, -1.2500000000000e+00, 2.0000000000000e+00, 2.5000000000000e-01
19, 0.0000000000000e+00, -2.0000000000000e+00, 2.5000000000000e-01
45, 0.0000000000000e+00, -2.0000000000000e+00, -2.5000000000000e-01
66, 0.0000000000000e+00, -6.6666666666667e-01, -2.5000000000000e-01
29, 0.0000000000000e+00, -6.6666666666667e-01, 2.5000000000000e-01
65, 0.0000000000000e+00, 6.6666666666667e-01, -2.5000000000000e-01
30, 0.0000000000000e+00, 6.6666666666667e-01, 2.5000000000000e-01
55, 0.0000000000000e+00, 2.0000000000000e+00, -2.5000000000000e-01
9, 0.0000000000000e+00, 2.0000000000000e+00, 2.5000000000000e-01
20, 1.2500000000000e+00, -2.0000000000000e+00, 2.5000000000000e-01
44, 1.2500000000000e+00, -2.0000000000000e+00, -2.5000000000000e-01
64, 1.2500000000000e+00, -6.6666666666667e-01, -2.5000000000000e-01
27, 1.2500000000000e+00, -6.6666666666667e-01, 2.5000000000000e-01
63, 1.2500000000000e+00, 6.6666666666667e-01, -2.5000000000000e-01
28, 1.2500000000000e+00, 6.6666666666667e-01, 2.5000000000000e-01
56, 1.2500000000000e+00, 2.0000000000000e+00, -2.5000000000000e-01
8, 1.2500000000000e+00, 2.0000000000000e+00, 2.5000000000000e-01
21, 2.5000000000000e+00, -2.0000000000000e+00, 2.5000000000000e-01
43, 2.5000000000000e+00, -2.0000000000000e+00, -2.5000000000000e-01
62, 2.5000000000000e+00, -6.6666666666667e-01, -2.5000000000000e-01
25, 2.5000000000000e+00, -6.6666666666667e-01, 2.5000000000000e-01
61, 2.5000000000000e+00, 6.6666666666667e-01, -2.5000000000000e-01
26, 2.5000000000000e+00, 6.6666666666667e-01, 2.5000000000000e-01
57, 2.5000000000000e+00, 2.0000000000000e+00, -2.5000000000000e-01
7, 2.5000000000000e+00, 2.0000000000000e+00, 2.5000000000000e-01
22, 3.7500000000000e+00, -2.0000000000000e+00, 2.5000000000000e-01
42, 3.7500000000000e+00, -2.0000000000000e+00, -2.5000000000000e-01
60, 3.7500000000000e+00, -6.6666666666667e-01, -2.5000000000000e-01
23, 3.7500000000000e+00, -6.6666666666667e-01, 2.5000000000000e-01
59, 3.7500000000000e+00, 6.6666666666667e-01, -2.5000000000000e-01
24, 3.7500000000000e+00, 6.6666666666667e-01, 2.5000000000000e-01
58, 3.7500000000000e+00, 2.0000000000000e+00, -2.5000000000000e-01
6, 3.7500000000000e+00, 2.0000000000000e+00, 2.5000000000000e-01
1, 5.0000000000000e+00, -2.0000000000000e+00, 2.5000000000000e-01
38, 5.0000000000000e+00, -2.0000000000000e+00, -2.5000000000000e-01
40, 5.0000000000000e+00, -6.6666666666667e-01, -2.5000000000000e-01
3, 5.0000000000000e+00, -6.6666666666667e-01, 2.5000000000000e-01
39, 5.0000000000000e+00, 6.6666666666667e-01, -2.5000000000000e-01
4, 5.0000000000000e+00, 6.6666666666667e-01, 2.5000000000000e-01
37, 5.0000000000000e+00, 2.0000000000000e+00, -2.5000000000000e-01
2, 5.0000000000000e+00, 2.0000000000000e+00, 2.5000000000000e-01
